day,mnth,year,season,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,rentals
17,2,2011,1,0,4,1,1,0.435833,0.428658,0.505,0.230104,259
18,2,2011,1,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579
19,2,2011,1,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532
20,2,2011,1,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639
21,2,2011,1,1,1,0,2,0.303333,0.284075,0.605,0.307846,195
22,2,2011,1,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74
23,2,2011,1,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139
24,2,2011,1,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100
25,2,2011,1,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120
26,2,2011,1,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424
27,2,2011,1,0,0,0,1,0.343478,0.351109,0.68,0.125248,694
28,2,2011,1,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81
1,3,2011,1,0,2,1,1,0.266667,0.263879,0.535,0.216425,137
2,3,2011,1,0,3,1,1,0.335,0.320071,0.449583,0.307833,231
3,3,2011,1,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123
4,3,2011,1,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214
5,3,2011,1,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640
6,3,2011,1,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114
7,3,2011,1,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244
8,3,2011,1,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316
9,3,2011,1,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191
10,3,2011,1,0,4,1,3,0.389091,0.385668,0,0.261877,46
11,3,2011,1,0,5,1,2,0.316522,0.305,0.649565,0.23297,247
12,3,2011,1,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724
13,3,2011,1,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982
14,3,2011,1,0,1,1,1,0.325217,0.332,0.496957,0.136926,359
15,3,2011,1,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289
16,3,2011,1,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321
17,3,2011,1,0,4,1,1,0.415,0.410333,0.602917,0.209579,424
18,3,2011,1,0,5,1,1,0.54,0.527009,0.525217,0.231017,884
19,3,2011,1,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424
20,3,2011,1,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047
21,3,2011,2,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401
22,3,2011,2,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460
23,3,2011,2,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203
24,3,2011,2,0,4,1,2,0.285,0.270833,0.805833,0.243787,166
25,3,2011,2,0,5,1,1,0.264167,0.256312,0.495,0.230725,300
26,3,2011,2,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981
27,3,2011,2,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472
28,3,2011,2,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222
29,3,2011,2,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317
30,3,2011,2,0,3,1,2,0.3,0.29735,0.646667,0.172888,168
31,3,2011,2,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179
1,4,2011,2,0,5,1,2,0.3,0.283454,0.68625,0.258708,307
2,4,2011,2,0,6,0,2,0.315,0.315637,0.65375,0.197146,898
3,4,2011,2,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651
4,4,2011,2,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734
5,4,2011,2,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167
6,4,2011,2,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413
7,4,2011,2,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571
8,4,2011,2,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172
9,4,2011,2,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879
10,4,2011,2,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188
11,4,2011,2,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855
12,4,2011,2,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257
13,4,2011,2,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209
14,4,2011,2,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529
15,4,2011,2,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642
16,4,2011,2,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121
17,4,2011,2,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558
18,4,2011,2,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669
19,4,2011,2,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409
20,4,2011,2,0,3,1,1,0.595,0.564392,0.614167,0.241925,613
21,4,2011,2,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745
22,4,2011,2,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177
23,4,2011,2,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462
24,4,2011,2,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710
25,4,2011,2,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773
26,4,2011,2,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678
27,4,2011,2,0,3,1,2,0.62,0.575142,0.835417,0.3122,547
28,4,2011,2,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569
29,4,2011,2,0,5,1,1,0.51,0.497463,0.457083,0.240063,878
30,4,2011,2,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965
1,5,2011,2,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138
2,5,2011,2,0,1,1,2,0.549167,0.532833,0.73,0.183454,847
3,5,2011,2,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603
4,5,2011,2,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255
5,5,2011,2,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614
6,5,2011,2,0,5,1,1,0.479167,0.474117,0.59,0.228246,894
7,5,2011,2,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612
8,5,2011,2,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401
9,5,2011,2,0,1,1,1,0.5325,0.525246,0.58875,0.176,664
10,5,2011,2,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694
11,5,2011,2,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550
12,5,2011,2,0,4,1,1,0.535,0.523363,0.7475,0.189667,695
13,5,2011,2,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692
14,5,2011,2,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902
15,5,2011,2,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582
16,5,2011,2,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773
17,5,2011,2,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678
18,5,2011,2,0,3,1,2,0.55,0.527158,0.87,0.201492,536
19,5,2011,2,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735
20,5,2011,2,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909
21,5,2011,2,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258
22,5,2011,2,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576
23,5,2011,2,0,1,1,2,0.631667,0.590296,0.81,0.233842,836
24,5,2011,2,0,2,1,2,0.66,0.604813,0.740833,0.207092,659
25,5,2011,2,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740
26,5,2011,2,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758
27,5,2011,2,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871
28,5,2011,2,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001
29,5,2011,2,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2355
30,5,2011,2,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549
31,5,2011,2,0,2,1,1,0.775,0.725383,0.636667,0.111329,673
1,6,2011,2,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513
2,6,2011,2,0,4,1,1,0.715,0.643942,0.305,0.292287,736
3,6,2011,2,0,5,1,1,0.62,0.587133,0.354167,0.253121,898
4,6,2011,2,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869
5,6,2011,2,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685
6,6,2011,2,0,1,1,1,0.678333,0.621858,0.6,0.121896,673
7,6,2011,2,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763
8,6,2011,2,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676
9,6,2011,2,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563
10,6,2011,2,0,5,1,1,0.755,0.703292,0.605,0.140554,815
11,6,2011,2,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729
12,6,2011,2,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467
13,6,2011,2,0,1,1,1,0.635,0.601654,0.494583,0.30535,863
14,6,2011,2,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727
15,6,2011,2,0,3,1,1,0.626667,0.587754,0.471667,0.167912,769
16,6,2011,2,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545
17,6,2011,2,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863
18,6,2011,2,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1807
19,6,2011,2,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639
20,6,2011,2,0,1,1,2,0.635,0.595346,0.74625,0.155475,699
21,6,2011,3,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774
22,6,2011,3,0,3,1,1,0.733333,0.693829,0.7075,0.172262,661
23,6,2011,3,0,4,1,2,0.728333,0.693833,0.703333,0.238804,746
24,6,2011,3,0,5,1,1,0.724167,0.656583,0.573333,0.222025,969
25,6,2011,3,0,6,0,1,0.695,0.643313,0.483333,0.209571,1782
26,6,2011,3,0,0,0,1,0.68,0.637629,0.513333,0.0945333,1920
27,6,2011,3,0,1,1,2,0.6825,0.637004,0.658333,0.107588,854
28,6,2011,3,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732
29,6,2011,3,0,3,1,1,0.728333,0.654688,0.497917,0.261821,848
30,6,2011,3,0,4,1,1,0.696667,0.637008,0.434167,0.185312,1027
1,7,2011,3,0,5,1,1,0.7225,0.652162,0.39625,0.102608,1246
2,7,2011,3,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2204
3,7,2011,3,0,0,0,2,0.716667,0.668575,0.6825,0.228858,2282
4,7,2011,3,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,3065
5,7,2011,3,0,2,1,1,0.746667,0.696338,0.590417,0.126258,1031
6,7,2011,3,0,3,1,1,0.72,0.685633,0.743333,0.149883,784
7,7,2011,3,0,4,1,1,0.75,0.686871,0.65125,0.1592,754
8,7,2011,3,0,5,1,2,0.709167,0.670483,0.757917,0.225129,692
9,7,2011,3,0,6,0,1,0.733333,0.664158,0.609167,0.167912,1988
10,7,2011,3,0,0,0,1,0.7475,0.690025,0.578333,0.183471,1743
11,7,2011,3,0,1,1,1,0.7625,0.729804,0.635833,0.282337,723
12,7,2011,3,0,2,1,1,0.794167,0.739275,0.559167,0.200254,662
13,7,2011,3,0,3,1,1,0.746667,0.689404,0.631667,0.146133,748
14,7,2011,3,0,4,1,1,0.680833,0.635104,0.47625,0.240667,888
15,7,2011,3,0,5,1,1,0.663333,0.624371,0.59125,0.182833,1318
16,7,2011,3,0,6,0,1,0.686667,0.638263,0.585,0.208342,2418
17,7,2011,3,0,0,0,1,0.719167,0.669833,0.604167,0.245033,2006
18,7,2011,3,0,1,1,1,0.746667,0.703925,0.65125,0.215804,841
19,7,2011,3,0,2,1,1,0.776667,0.747479,0.650417,0.1306,752
20,7,2011,3,0,3,1,1,0.768333,0.74685,0.707083,0.113817,644
21,7,2011,3,0,4,1,2,0.815,0.826371,0.69125,0.222021,632
22,7,2011,3,0,5,1,1,0.848333,0.840896,0.580417,0.1331,562
23,7,2011,3,0,6,0,1,0.849167,0.804287,0.5,0.131221,987
24,7,2011,3,0,0,0,1,0.83,0.794829,0.550833,0.169171,1050
25,7,2011,3,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,568
26,7,2011,3,0,2,1,1,0.771667,0.696979,0.540833,0.200258,750
27,7,2011,3,0,3,1,1,0.775,0.690667,0.402917,0.183463,755
28,7,2011,3,0,4,1,1,0.779167,0.7399,0.583333,0.178479,606
29,7,2011,3,0,5,1,1,0.838333,0.785967,0.5425,0.174138,670
30,7,2011,3,0,6,0,1,0.804167,0.728537,0.465833,0.168537,1559
31,7,2011,3,0,0,0,1,0.805833,0.729796,0.480833,0.164813,1524
1,8,2011,3,0,1,1,1,0.771667,0.703292,0.550833,0.156717,729
2,8,2011,3,0,2,1,1,0.783333,0.707071,0.49125,0.20585,801
3,8,2011,3,0,3,1,2,0.731667,0.679937,0.6575,0.135583,467
4,8,2011,3,0,4,1,2,0.71,0.664788,0.7575,0.19715,799
5,8,2011,3,0,5,1,1,0.710833,0.656567,0.630833,0.184696,1023
6,8,2011,3,0,6,0,2,0.716667,0.676154,0.755,0.22825,1521
7,8,2011,3,0,0,0,1,0.7425,0.715292,0.752917,0.201487,1298
8,8,2011,3,0,1,1,1,0.765,0.703283,0.592083,0.192175,846
9,8,2011,3,0,2,1,1,0.775,0.724121,0.570417,0.151121,907
10,8,2011,3,0,3,1,1,0.766667,0.684983,0.424167,0.200258,884
11,8,2011,3,0,4,1,1,0.7175,0.651521,0.42375,0.164796,812
12,8,2011,3,0,5,1,1,0.708333,0.654042,0.415,0.125621,1051
13,8,2011,3,0,6,0,2,0.685833,0.645858,0.729583,0.211454,1504
14,8,2011,3,0,0,0,2,0.676667,0.624388,0.8175,0.222633,1338
15,8,2011,3,0,1,1,1,0.665833,0.616167,0.712083,0.208954,775
16,8,2011,3,0,2,1,1,0.700833,0.645837,0.578333,0.236329,721
17,8,2011,3,0,3,1,1,0.723333,0.666671,0.575417,0.143667,668
18,8,2011,3,0,4,1,1,0.711667,0.662258,0.654583,0.233208,639
19,8,2011,3,0,5,1,2,0.685,0.633221,0.722917,0.139308,797
20,8,2011,3,0,6,0,1,0.6975,0.648996,0.674167,0.104467,1914
21,8,2011,3,0,0,0,1,0.710833,0.675525,0.77,0.248754,1249
22,8,2011,3,0,1,1,1,0.691667,0.638254,0.47,0.27675,833
23,8,2011,3,0,2,1,1,0.640833,0.606067,0.455417,0.146763,1281
24,8,2011,3,0,3,1,1,0.673333,0.630692,0.605,0.253108,949
25,8,2011,3,0,4,1,2,0.684167,0.645854,0.771667,0.210833,435
26,8,2011,3,0,5,1,1,0.7,0.659733,0.76125,0.0839625,768
27,8,2011,3,0,6,0,2,0.68,0.635556,0.85,0.375617,226
28,8,2011,3,0,0,0,1,0.707059,0.647959,0.561765,0.304659,1415
29,8,2011,3,0,1,1,1,0.636667,0.607958,0.554583,0.159825,729
30,8,2011,3,0,2,1,1,0.639167,0.594704,0.548333,0.125008,775
31,8,2011,3,0,3,1,1,0.656667,0.611121,0.597917,0.0833333,688
1,9,2011,3,0,4,1,1,0.655,0.614921,0.639167,0.141796,783
2,9,2011,3,0,5,1,2,0.643333,0.604808,0.727083,0.139929,875
3,9,2011,3,0,6,0,1,0.669167,0.633213,0.716667,0.185325,1935
4,9,2011,3,0,0,0,1,0.709167,0.665429,0.742083,0.206467,2521
5,9,2011,3,1,1,0,2,0.673333,0.625646,0.790417,0.212696,1236
6,9,2011,3,0,2,1,3,0.54,0.5152,0.886957,0.343943,204
7,9,2011,3,0,3,1,3,0.599167,0.544229,0.917083,0.0970208,118
8,9,2011,3,0,4,1,3,0.633913,0.555361,0.939565,0.192748,153
9,9,2011,3,0,5,1,2,0.65,0.578946,0.897917,0.124379,417
10,9,2011,3,0,6,0,1,0.66,0.607962,0.75375,0.153608,1750
11,9,2011,3,0,0,0,1,0.653333,0.609229,0.71375,0.115054,1633
12,9,2011,3,0,1,1,1,0.644348,0.60213,0.692174,0.088913,690
13,9,2011,3,0,2,1,1,0.650833,0.603554,0.7125,0.141804,701
14,9,2011,3,0,3,1,1,0.673333,0.6269,0.697083,0.1673,647
15,9,2011,3,0,4,1,2,0.5775,0.553671,0.709167,0.271146,428
16,9,2011,3,0,5,1,2,0.469167,0.461475,0.590417,0.164183,742
17,9,2011,3,0,6,0,2,0.491667,0.478512,0.718333,0.189675,1434
18,9,2011,3,0,0,0,1,0.5075,0.490537,0.695,0.178483,1353
19,9,2011,3,0,1,1,2,0.549167,0.529675,0.69,0.151742,691
20,9,2011,3,0,2,1,2,0.561667,0.532217,0.88125,0.134954,438
21,9,2011,3,0,3,1,2,0.595,0.550533,0.9,0.0964042,539
22,9,2011,3,0,4,1,2,0.628333,0.554963,0.902083,0.128125,555
23,9,2011,4,0,5,1,2,0.609167,0.522125,0.9725,0.0783667,258
24,9,2011,4,0,6,0,2,0.606667,0.564412,0.8625,0.0783833,1776
25,9,2011,4,0,0,0,2,0.634167,0.572637,0.845,0.0503792,1544
26,9,2011,4,0,1,1,2,0.649167,0.589042,0.848333,0.1107,684
27,9,2011,4,0,2,1,2,0.636667,0.574525,0.885417,0.118171,477
28,9,2011,4,0,3,1,2,0.635,0.575158,0.84875,0.148629,480
29,9,2011,4,0,4,1,1,0.616667,0.574512,0.699167,0.172883,653
30,9,2011,4,0,5,1,1,0.564167,0.544829,0.6475,0.206475,830
1,10,2011,4,0,6,0,2,0.41,0.412863,0.75375,0.292296,480
2,10,2011,4,0,0,0,2,0.356667,0.345317,0.791667,0.222013,616
3,10,2011,4,0,1,1,2,0.384167,0.392046,0.760833,0.0833458,330
4,10,2011,4,0,2,1,1,0.484167,0.472858,0.71,0.205854,486
5,10,2011,4,0,3,1,1,0.538333,0.527138,0.647917,0.17725,559
6,10,2011,4,0,4,1,1,0.494167,0.480425,0.620833,0.134954,639
7,10,2011,4,0,5,1,1,0.510833,0.504404,0.684167,0.0223917,949
8,10,2011,4,0,6,0,1,0.521667,0.513242,0.70125,0.0454042,2235
9,10,2011,4,0,0,0,1,0.540833,0.523983,0.7275,0.06345,2397
10,10,2011,4,1,1,0,1,0.570833,0.542925,0.73375,0.0423042,1514
11,10,2011,4,0,2,1,2,0.566667,0.546096,0.80875,0.143042,667
12,10,2011,4,0,3,1,3,0.543333,0.517717,0.90625,0.24815,217
13,10,2011,4,0,4,1,2,0.589167,0.551804,0.896667,0.141787,290
14,10,2011,4,0,5,1,2,0.550833,0.529675,0.71625,0.223883,529
15,10,2011,4,0,6,0,1,0.506667,0.498725,0.483333,0.258083,1899
16,10,2011,4,0,0,0,1,0.511667,0.503154,0.486667,0.281717,1748
17,10,2011,4,0,1,1,1,0.534167,0.510725,0.579583,0.175379,713
18,10,2011,4,0,2,1,2,0.5325,0.522721,0.701667,0.110087,637
19,10,2011,4,0,3,1,3,0.541739,0.513848,0.895217,0.243339,254
20,10,2011,4,0,4,1,1,0.475833,0.466525,0.63625,0.422275,471
21,10,2011,4,0,5,1,1,0.4275,0.423596,0.574167,0.221396,676
22,10,2011,4,0,6,0,1,0.4225,0.425492,0.629167,0.0926667,1499
23,10,2011,4,0,0,0,1,0.421667,0.422333,0.74125,0.0995125,1619
24,10,2011,4,0,1,1,1,0.463333,0.457067,0.772083,0.118792,699
25,10,2011,4,0,2,1,1,0.471667,0.463375,0.622917,0.166658,695
26,10,2011,4,0,3,1,2,0.484167,0.472846,0.720417,0.148642,404
27,10,2011,4,0,4,1,2,0.47,0.457046,0.812917,0.197763,240
28,10,2011,4,0,5,1,2,0.330833,0.318812,0.585833,0.229479,456
29,10,2011,4,0,6,0,3,0.254167,0.227913,0.8825,0.351371,57
30,10,2011,4,0,0,0,1,0.319167,0.321329,0.62375,0.176617,885
31,10,2011,4,0,1,1,1,0.34,0.356063,0.703333,0.10635,362
1,11,2011,4,0,2,1,1,0.400833,0.397088,0.68375,0.135571,410
2,11,2011,4,0,3,1,1,0.3775,0.390133,0.71875,0.0820917,370
3,11,2011,4,0,4,1,1,0.408333,0.405921,0.702083,0.136817,318
4,11,2011,4,0,5,1,2,0.403333,0.403392,0.6225,0.271779,470
5,11,2011,4,0,6,0,1,0.326667,0.323854,0.519167,0.189062,1156
6,11,2011,4,0,0,0,1,0.348333,0.362358,0.734583,0.0920542,952
7,11,2011,4,0,1,1,1,0.395,0.400871,0.75875,0.057225,373
8,11,2011,4,0,2,1,1,0.408333,0.412246,0.721667,0.0690375,376
9,11,2011,4,0,3,1,1,0.4,0.409079,0.758333,0.0621958,305
10,11,2011,4,0,4,1,2,0.38,0.373721,0.813333,0.189067,190
11,11,2011,4,1,5,0,1,0.324167,0.306817,0.44625,0.314675,440
12,11,2011,4,0,6,0,1,0.356667,0.357942,0.552917,0.212062,1275
13,11,2011,4,0,0,0,1,0.440833,0.43055,0.458333,0.281721,1004
14,11,2011,4,0,1,1,1,0.53,0.524612,0.587083,0.306596,595
15,11,2011,4,0,2,1,2,0.53,0.507579,0.68875,0.199633,449
16,11,2011,4,0,3,1,3,0.456667,0.451988,0.93,0.136829,145
17,11,2011,4,0,4,1,2,0.341667,0.323221,0.575833,0.305362,139
18,11,2011,4,0,5,1,1,0.274167,0.272721,0.41,0.168533,245
19,11,2011,4,0,6,0,1,0.329167,0.324483,0.502083,0.224496,943
20,11,2011,4,0,0,0,2,0.463333,0.457058,0.684583,0.18595,787
21,11,2011,4,0,1,1,3,0.4475,0.445062,0.91,0.138054,220
22,11,2011,4,0,2,1,3,0.416667,0.421696,0.9625,0.118792,69
23,11,2011,4,0,3,1,2,0.440833,0.430537,0.757917,0.335825,112
24,11,2011,4,1,4,0,1,0.373333,0.372471,0.549167,0.167304,560
25,11,2011,4,0,5,1,1,0.375,0.380671,0.64375,0.0988958,1095
26,11,2011,4,0,6,0,1,0.375833,0.385087,0.681667,0.0684208,1249
27,11,2011,4,0,0,0,1,0.459167,0.4558,0.698333,0.208954,810
28,11,2011,4,0,1,1,1,0.503478,0.490122,0.743043,0.142122,253
29,11,2011,4,0,2,1,2,0.458333,0.451375,0.830833,0.258092,96
30,11,2011,4,0,3,1,1,0.325,0.311221,0.613333,0.271158,188
1,12,2011,4,0,4,1,1,0.3125,0.305554,0.524583,0.220158,182
2,12,2011,4,0,5,1,1,0.314167,0.331433,0.625833,0.100754,268
3,12,2011,4,0,6,0,1,0.299167,0.310604,0.612917,0.0957833,706
4,12,2011,4,0,0,0,1,0.330833,0.3491,0.775833,0.0839583,634
5,12,2011,4,0,1,1,2,0.385833,0.393925,0.827083,0.0622083,233
6,12,2011,4,0,2,1,3,0.4625,0.4564,0.949583,0.232583,126
7,12,2011,4,0,3,1,3,0.41,0.400246,0.970417,0.266175,50
8,12,2011,4,0,4,1,1,0.265833,0.256938,0.58,0.240058,150
9,12,2011,4,0,5,1,1,0.290833,0.317542,0.695833,0.0827167,261
10,12,2011,4,0,6,0,1,0.275,0.266412,0.5075,0.233221,502
11,12,2011,4,0,0,0,1,0.220833,0.253154,0.49,0.0665417,377
12,12,2011,4,0,1,1,1,0.238333,0.270196,0.670833,0.06345,143
13,12,2011,4,0,2,1,1,0.2825,0.301138,0.59,0.14055,155
14,12,2011,4,0,3,1,2,0.3175,0.338362,0.66375,0.0609583,178
15,12,2011,4,0,4,1,2,0.4225,0.412237,0.634167,0.268042,181
16,12,2011,4,0,5,1,2,0.375,0.359825,0.500417,0.260575,178
17,12,2011,4,0,6,0,2,0.258333,0.249371,0.560833,0.243167,275
18,12,2011,4,0,0,0,1,0.238333,0.245579,0.58625,0.169779,220
19,12,2011,4,0,1,1,1,0.276667,0.280933,0.6375,0.172896,260
20,12,2011,4,0,2,1,2,0.385833,0.396454,0.595417,0.0615708,216
21,12,2011,1,0,3,1,2,0.428333,0.428017,0.858333,0.2214,107
22,12,2011,1,0,4,1,2,0.423333,0.426121,0.7575,0.047275,227
